Name,Market Cap (GBP£ Billion)
JPMorgan Chase,1172.802
Industrial and Commercial Bank of China,1035.642
Bank of America,975.993
Wells Fargo,924.039
China Construction Bank,772.197
HSBC Holdings PLC,657.81
Agricultural Bank of China,609.732
Citigroup Inc.,609.495
Bank of China,544.407
China Merchants Bank,367.848
Royal Bank of Canada,367.692
Banco Santander,347.088
Commonwealth Bank,336.681
Mitsubishi UFJ Financial Group,334.98
Toronto-Dominion Bank,325.347
BNP Paribas,309.774
Goldman Sachs,302.115
Sberbank of Russia,299.52
Morgan Stanley,298.953
U.S. Bancorp,283.674
HDFC Bank,265.305
Itaú Unibanco,258.609
Westpac,253.68
Scotiabank,236.841
ING Group,236.76
UBS,226.446
Charles Schwab,222.765
PNC Financial Services,216.738
Lloyds Banking Group,213.759
Sumitomo Mitsui Financial Group,201.984
Bank of Communications,201.234
Australia and New Zealand Banking Group,199.344
Banco Bradesco,194.448
National Australia Bank,191.382
Intesa Sanpaolo,186.096
Banco Bilbao Vizcaya Argentaria,182.034
Japan Post Bank,181.575
The Bank of New York Mellon,179.469
Shanghai Pudong Development Bank,176.388
Industrial Bank (China),172.164
Bank of China (Hong Kong),166.347
Bank of Montreal,159.543
Crédit Agricole,156.423
DBS Bank,154.425
Nordea,153.555
Capital One,153.321
NatWest Group,151.47
Mizuho Financial Group,150.054
Credit Suisse,145.386
Postal Savings Bank of China,143.844
China Minsheng Bank,143.763
UniCredit,143.331
China CITIC Bank,142.353
Hang Seng Bank,138.513
Société Générale,138.153
Barclays,137.55
Canadian Imperial Bank of Commerce,130.632
Bank Central Asia,130.032
Truist Financial,125.769
Oversea-Chinese Banking Corp,124.086
State Bank of India,121.686
State Street,119.307
Deutsche Bank,115.947
KBC Bank,115.182
Danske Bank,114.669
Ping An Bank,113.979
Standard Chartered,111.957
United Overseas Bank,105.384
QNB Group,100.68
Bank Rakyat,99.243
